ID,Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-11 00:00:00,0,0,0,0,0,5,7,12,6,5,0,1,0,10,9,4,0,9,0,0,3,10,3,9
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-14 00:00:00,0,0,0,1,0,0,14,7,9,5,0,0,0,8,28,4,4,12,0,41,17,1,13,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-17 00:00:00,0,0,0,0,0,0,11,10,4,12,17,2,0,5,29,0,52,0,8,0,7,19,0,12
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-19 00:00:00,0,0,0,0,0,0,18,0,0,11,16,6,0,5,8,16,0,0,0,7,8,15,15,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-20 00:00:00,0,1,0,0,0,0,28,1,0,0,0,0,0,7,8,11,1,1,3,6,1,9,9,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-21 00:00:00,0,0,0,0,0,0,20,0,0,0,17,0,1,17,8,7,3,0,10,0,11,10,10,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-24 00:00:00,0,1,0,0,0,0,27,0,7,25,18,4,0,7,9,8,17,0,0,10,3,3,12,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-25 00:00:00,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,20,6,35,0,5
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-26 00:00:00,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,20,4,17,7,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-27 00:00:00,0,0,0,0,0,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,7,9,5,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-28 00:00:00,0,0,0,1,0,0,32,0,46,13,18,3,10,14,8,13,14,17,5,42,16,15,8,0
